class,average_loudness,spectral_spread_var,ZCR_mean,Dissonance_mean,spectral_flux_mean,spectral_centroid_mean,energyband_middle_high_mean,energyband_middle_low_mean
hiphop,0.95937025549999999,3562882203650.0,0.094436310199999998,0.48314180969999998,0.093970447799999995,1934.4260253899999,0.0084623302999999993,0.0072139068999999998
rnb,0.91478377580000003,7795333136380.0,0.061317835000000001,0.45504945520000001,0.084445856499999999,1331.07849121,0.0056158722999999997,0.0099826789999999995
jazz,0.54850912090000004,9911579705340.0,0.028765425099999999,0.35981711750000001,0.036872144799999999,576.18218994100005,0.0024950907,0.010632570799999999
folk,0.9260031581,2148811800580.0,0.0530280843,0.45720350739999999,0.076054573099999995,1061.9844970700001,0.0055996450000000003,0.0201458838
classical,0.8208030462,2247615840260.0,0.35185283420000002,0.43718501929999998,0.093792088300000007,616.98907470699999,0.0047855032999999996,0.016078973199999999
electronic,0.71806454659999996,139223449600.0,0.043797116699999999,0.47509053350000002,0.076112493899999994,1093.9455566399999,0.0060290107999999999,0.010893737000000001
hiphop,0.50965243579999997,2864542646270.0,0.080145299399999995,0.47584456209999998,0.1054086536,1969.8892822299999,0.0056661656000000001,0.0079704327999999998
rnb,0.88709092140000001,1954077343740.0,0.043779935700000001,0.44011196489999999,0.071352385000000004,1005.99060059,0.0056477343000000003,0.0126636475
jazz,0.60750538109999996,3673257672700.0,0.050078205799999997,0.41845369339999999,0.0502253249,1017.16497803,0.0052162865000000003,0.0091165267000000005
folk,0.89702224730000002,18586913472500.0,0.17570461330000001,0.46202751990000002,0.073806412500000002,1576.3782959,0.0042811185000000002,0.0098416814999999994
classical,0.89920055870000004,3275740413950.0,0.064222782899999997,0.47479781510000002,0.068838290900000002,1602.1684570299999,0.0075360616000000004,0.0089807668999999993
electronic,0.88626539709999996,10680479514600.0,0.070487528999999993,0.47244456410000002,0.1246103272,1661.4375,0.0019368222,0.0045001492999999998
hiphop,0.88943779469999995,1060727422980.0,0.1952525973,0.46926215290000001,0.1040396839,1598.12890625,0.0046020093999999999,0.0105201406
rnb,0.86636376380000002,893017915392.0,0.042701624299999998,0.4498867393,0.067819721999999999,1139.37231445,0.0040182252000000003,0.016162445800000001
jazz,0.19485910240000001,5995125800960.0,0.086837165100000002,0.45334827900000002,0.051307458399999999,1508.09765625,0.0062452895,0.0041277008
folk,0.63110303879999996,4909773094910.0,0.038349594899999999,0.40600451830000001,0.054485835099999998,683.91827392599998,0.0040687681,0.014309735000000001
classical,0.0491854995,1388154585090.0,0.025975450899999999,0.40451195839999998,0.0366991609,588.47729492200006,0.0014716003000000001,0.0113688586
electronic,0.94641435149999997,5235978797060.0,0.057493779799999999,0.47735679149999999,0.11434111,1248.36657715,0.0030063372000000001,0.011033495900000001
hiphop,0.90453749900000002,2058359144450.0,0.093400657200000001,0.46063259239999998,0.1211087555,1238.18395996,0.0029400633999999998,0.0125675909
rnb,0.64630687239999995,22099093618700.0,0.16594165559999999,0.46043965219999999,0.077754937100000004,1166.4451904299999,0.0029333646000000001,0.0089081171999999993
jazz,0.3097057641,2194206621700.0,0.038328848800000002,0.4322163463,0.065333142900000002,817.10607910199997,0.0040137651000000003,0.0124619668
folk,0.1721281707,341815721984.0,0.070430278799999996,0.46582829949999999,0.065124124300000003,1707.21386719,0.0070959721000000003,0.0056692273000000003
classical,0.58295542,1806134018050.0,0.041611433000000003,0.39538884159999999,0.078172445300000004,851.34680175799997,0.0047508259000000001,0.015740306999999999
electronic,0.92093056439999998,8253560848380.0,0.041389633000000002,0.45252206919999999,0.096377201400000001,1154.1840820299999,0.0039337953,0.0118474346
hiphop,0.90782547000000002,2958026604540.0,0.11589542780000001,0.45759689809999998,0.1015880555,1133.7390136700001,0.0060151285000000004,0.010027253099999999
rnb,0.85473984479999998,5291801837570.0,0.056684829300000003,0.46113485100000001,0.090739443899999994,1103.9173584,0.0017027993,0.0108389817
jazz,0.35047146680000002,4998168576000.0,0.4162966609,0.40290069579999999,0.060927275599999997,351.179199219,0.00046145170000000001,0.013922853400000001
folk,0.73384046550000004,30972875636700.0,0.094598300799999993,0.4592486918,0.059154696800000003,2222.3569335900002,0.0097831133999999997,0.0048784524999999999
classical,0.80378365519999995,1264021405700.0,0.35532277820000002,0.4696047008,0.1787605286,743.66583251999998,0.0056001408999999999,0.0154107185
electronic,0.86448717119999996,10646674473000.0,0.079545840600000001,0.4601404965,0.088503822699999998,1304.1594238299999,0.0074336133,0.0106119132
